Training ... 
solution loss = 756.682732, solution error = 3.376899, grad_solution error = 1.621541
solution loss = 612.565903, solution error = 3.054210, grad_solution error = 1.616337
solution loss = 504.416729, solution error = 2.785499, grad_solution error = 1.611871
solution loss = 416.275093, solution error = 2.568013, grad_solution error = 1.607737
solution loss = 349.228348, solution error = 2.399025, grad_solution error = 1.605167
solution loss = 302.595028, solution error = 2.263221, grad_solution error = 1.603511
solution loss = 261.049000, solution error = 2.150789, grad_solution error = 1.602239
solution loss = 234.970879, solution error = 2.063092, grad_solution error = 1.601712
solution loss = 204.391621, solution error = 1.989639, grad_solution error = 1.601393
solution loss = 183.914032, solution error = 1.919084, grad_solution error = 1.600339
solution loss = 166.691204, solution error = 1.862310, grad_solution error = 1.599475
solution loss = 149.936899, solution error = 1.816401, grad_solution error = 1.598693
solution loss = 138.210915, solution error = 1.772137, grad_solution error = 1.597312
solution loss = 128.794051, solution error = 1.731711, grad_solution error = 1.595842
solution loss = 120.589989, solution error = 1.694464, grad_solution error = 1.593981
solution loss = 112.422527, solution error = 1.663217, grad_solution error = 1.592091
solution loss = 105.689906, solution error = 1.636764, grad_solution error = 1.590321
solution loss = 100.664365, solution error = 1.613419, grad_solution error = 1.588657
solution loss = 94.874385, solution error = 1.590572, grad_solution error = 1.586936
solution loss = 90.952553, solution error = 1.569851, grad_solution error = 1.585335
solution loss = 85.737652, solution error = 1.547780, grad_solution error = 1.583684
solution loss = 83.614214, solution error = 1.532147, grad_solution error = 1.582871
solution loss = 79.196958, solution error = 1.519764, grad_solution error = 1.582211
solution loss = 75.425236, solution error = 1.501273, grad_solution error = 1.580711
solution loss = 72.785513, solution error = 1.479861, grad_solution error = 1.578645
solution loss = 69.930592, solution error = 1.469257, grad_solution error = 1.577497
solution loss = 66.964439, solution error = 1.459283, grad_solution error = 1.576508
solution loss = 64.815619, solution error = 1.440511, grad_solution error = 1.574969
solution loss = 61.984077, solution error = 1.428583, grad_solution error = 1.573859
solution loss = 60.532081, solution error = 1.423373, grad_solution error = 1.573112
solution loss = 57.964659, solution error = 1.407765, grad_solution error = 1.571278
solution loss = 56.158983, solution error = 1.393180, grad_solution error = 1.569559
solution loss = 54.230602, solution error = 1.390299, grad_solution error = 1.568999
solution loss = 52.387307, solution error = 1.382038, grad_solution error = 1.567882
solution loss = 50.461505, solution error = 1.368710, grad_solution error = 1.566383
solution loss = 49.100857, solution error = 1.359414, grad_solution error = 1.565205
solution loss = 47.398082, solution error = 1.352671, grad_solution error = 1.564439
solution loss = 45.947152, solution error = 1.341956, grad_solution error = 1.563542
solution loss = 43.965740, solution error = 1.340076, grad_solution error = 1.563881
solution loss = 43.000500, solution error = 1.330900, grad_solution error = 1.563167
solution loss = 41.548274, solution error = 1.320508, grad_solution error = 1.561998
solution loss = 39.693291, solution error = 1.313751, grad_solution error = 1.561084
solution loss = 38.820416, solution error = 1.315263, grad_solution error = 1.561291
solution loss = 37.673557, solution error = 1.307315, grad_solution error = 1.560555
solution loss = 36.506108, solution error = 1.297983, grad_solution error = 1.559584
solution loss = 35.521584, solution error = 1.290830, grad_solution error = 1.558871
solution loss = 34.251474, solution error = 1.282956, grad_solution error = 1.557872
solution loss = 32.798646, solution error = 1.282014, grad_solution error = 1.557402
solution loss = 32.519394, solution error = 1.277195, grad_solution error = 1.556288
solution loss = 31.233790, solution error = 1.270093, grad_solution error = 1.555340
solution loss = 30.550503, solution error = 1.266244, grad_solution error = 1.554685
solution loss = 29.640028, solution error = 1.261681, grad_solution error = 1.553859
solution loss = 28.961014, solution error = 1.252850, grad_solution error = 1.552307
solution loss = 28.168033, solution error = 1.249298, grad_solution error = 1.551810
solution loss = 27.614104, solution error = 1.251528, grad_solution error = 1.551457
solution loss = 26.962909, solution error = 1.246377, grad_solution error = 1.550418
solution loss = 26.410778, solution error = 1.239667, grad_solution error = 1.549535
solution loss = 25.644817, solution error = 1.240820, grad_solution error = 1.549076
solution loss = 25.251250, solution error = 1.237184, grad_solution error = 1.548506
solution loss = 24.992524, solution error = 1.230674, grad_solution error = 1.547658
solution loss = 24.207421, solution error = 1.231641, grad_solution error = 1.547174
solution loss = 23.823784, solution error = 1.229309, grad_solution error = 1.546336
solution loss = 23.328120, solution error = 1.222881, grad_solution error = 1.545237
solution loss = 22.863923, solution error = 1.219241, grad_solution error = 1.544396
solution loss = 22.329183, solution error = 1.217678, grad_solution error = 1.543608
solution loss = 22.093689, solution error = 1.217421, grad_solution error = 1.542846
solution loss = 21.719415, solution error = 1.210614, grad_solution error = 1.541752
solution loss = 21.245878, solution error = 1.208012, grad_solution error = 1.541046
solution loss = 20.766637, solution error = 1.210954, grad_solution error = 1.540714
