Training ... 
solution loss = 1954.340607, solution error = 3.553601, grad_solution error = 1.623674
solution loss = 2113.396179, solution error = 3.517106, grad_solution error = 1.622376
solution loss = 2098.999619, solution error = 3.501581, grad_solution error = 1.621579
solution loss = 2071.701401, solution error = 3.499447, grad_solution error = 1.621454
solution loss = 2094.841385, solution error = 3.489150, grad_solution error = 1.621477
solution loss = 1905.626251, solution error = 3.470537, grad_solution error = 1.621575
solution loss = 1884.192078, solution error = 3.454336, grad_solution error = 1.621439
solution loss = 1837.161621, solution error = 3.436533, grad_solution error = 1.621340
solution loss = 1840.162216, solution error = 3.425072, grad_solution error = 1.621344
solution loss = 1973.488708, solution error = 3.414420, grad_solution error = 1.621221
solution loss = 1902.990906, solution error = 3.393183, grad_solution error = 1.621148
solution loss = 1830.530792, solution error = 3.376817, grad_solution error = 1.620922
solution loss = 1813.438675, solution error = 3.363141, grad_solution error = 1.620887
solution loss = 1948.748123, solution error = 3.348981, grad_solution error = 1.620720
solution loss = 1834.408768, solution error = 3.312982, grad_solution error = 1.620077
solution loss = 1835.965561, solution error = 3.304925, grad_solution error = 1.620016
solution loss = 1928.940735, solution error = 3.303474, grad_solution error = 1.619915
solution loss = 1913.198578, solution error = 3.295902, grad_solution error = 1.619999
solution loss = 1894.067596, solution error = 3.277979, grad_solution error = 1.619982
solution loss = 1808.950211, solution error = 3.266433, grad_solution error = 1.619937
solution loss = 1815.140732, solution error = 3.260899, grad_solution error = 1.619699
solution loss = 1784.906723, solution error = 3.259462, grad_solution error = 1.619632
solution loss = 1907.311676, solution error = 3.258311, grad_solution error = 1.619518
solution loss = 1938.506805, solution error = 3.264671, grad_solution error = 1.619553
solution loss = 1935.726669, solution error = 3.264116, grad_solution error = 1.619557
solution loss = 2005.447998, solution error = 3.249428, grad_solution error = 1.619540
solution loss = 1950.476471, solution error = 3.231217, grad_solution error = 1.619260
solution loss = 1986.361542, solution error = 3.219504, grad_solution error = 1.618837
solution loss = 1860.907425, solution error = 3.201269, grad_solution error = 1.618514
solution loss = 1793.506378, solution error = 3.183125, grad_solution error = 1.617978
solution loss = 1821.421600, solution error = 3.170889, grad_solution error = 1.617690
solution loss = 2084.223923, solution error = 3.153693, grad_solution error = 1.617357
solution loss = 1867.155502, solution error = 3.151282, grad_solution error = 1.617657
solution loss = 1977.991470, solution error = 3.174401, grad_solution error = 1.617826
solution loss = 1794.185547, solution error = 3.205633, grad_solution error = 1.617969
solution loss = 1794.183334, solution error = 3.212575, grad_solution error = 1.617741
solution loss = 1790.882095, solution error = 3.215374, grad_solution error = 1.617526
solution loss = 3439.330460, solution error = 3.223528, grad_solution error = 1.617855
solution loss = 1797.748489, solution error = 3.239363, grad_solution error = 1.617111
solution loss = 1757.837845, solution error = 3.244981, grad_solution error = 1.617011
solution loss = 1811.973969, solution error = 3.200080, grad_solution error = 1.617324
solution loss = 1661.007309, solution error = 3.180805, grad_solution error = 1.617731
solution loss = 2304.494308, solution error = 3.184217, grad_solution error = 1.617822
solution loss = 2587.354752, solution error = 3.188458, grad_solution error = 1.616982
solution loss = 1714.537170, solution error = 3.160166, grad_solution error = 1.615232
solution loss = 1589.577606, solution error = 3.149743, grad_solution error = 1.614820
