Training ... 
solution loss = 926.156776, solution error = 3.364963, grad_solution error = 4.722764
solution loss = 756.645370, solution error = 3.060996, grad_solution error = 4.716805
solution loss = 607.530922, solution error = 2.803737, grad_solution error = 4.736663
solution loss = 510.103870, solution error = 2.590440, grad_solution error = 4.741357
solution loss = 436.953476, solution error = 2.416893, grad_solution error = 4.715129
solution loss = 375.737667, solution error = 2.282067, grad_solution error = 4.661712
solution loss = 330.252686, solution error = 2.175213, grad_solution error = 4.598900
solution loss = 289.984886, solution error = 2.087378, grad_solution error = 4.541964
solution loss = 259.628399, solution error = 2.011345, grad_solution error = 4.496918
solution loss = 231.341440, solution error = 1.946235, grad_solution error = 4.453981
solution loss = 208.590902, solution error = 1.884601, grad_solution error = 4.416380
solution loss = 187.459900, solution error = 1.833095, grad_solution error = 4.381350
solution loss = 172.589186, solution error = 1.788666, grad_solution error = 4.353999
solution loss = 158.130529, solution error = 1.750714, grad_solution error = 4.329225
solution loss = 148.014757, solution error = 1.720230, grad_solution error = 4.300384
solution loss = 136.989754, solution error = 1.693829, grad_solution error = 4.272130
solution loss = 129.354087, solution error = 1.666042, grad_solution error = 4.247670
solution loss = 121.392907, solution error = 1.638569, grad_solution error = 4.229126
solution loss = 114.360073, solution error = 1.614880, grad_solution error = 4.214181
solution loss = 108.648943, solution error = 1.598839, grad_solution error = 4.195753
solution loss = 103.083171, solution error = 1.576318, grad_solution error = 4.168740
solution loss = 98.256980, solution error = 1.553514, grad_solution error = 4.139276
solution loss = 93.415586, solution error = 1.541681, grad_solution error = 4.115125
solution loss = 89.448450, solution error = 1.536305, grad_solution error = 4.092891
solution loss = 85.037747, solution error = 1.522217, grad_solution error = 4.070255
solution loss = 81.717253, solution error = 1.505475, grad_solution error = 4.041462
solution loss = 77.827621, solution error = 1.490546, grad_solution error = 4.016798
solution loss = 74.344389, solution error = 1.483936, grad_solution error = 3.993386
solution loss = 71.056306, solution error = 1.473793, grad_solution error = 3.961026
solution loss = 68.547339, solution error = 1.462531, grad_solution error = 3.930670
solution loss = 66.231265, solution error = 1.455051, grad_solution error = 3.902264
solution loss = 63.709793, solution error = 1.443152, grad_solution error = 3.874967
solution loss = 61.263760, solution error = 1.434371, grad_solution error = 3.851242
solution loss = 59.776425, solution error = 1.427771, grad_solution error = 3.827499
solution loss = 56.650782, solution error = 1.423486, grad_solution error = 3.798968
solution loss = 54.685872, solution error = 1.410351, grad_solution error = 3.773206
solution loss = 53.429895, solution error = 1.404781, grad_solution error = 3.743724
solution loss = 51.023347, solution error = 1.403054, grad_solution error = 3.718606
solution loss = 49.491016, solution error = 1.392324, grad_solution error = 3.702705
solution loss = 47.821241, solution error = 1.383698, grad_solution error = 3.681976
solution loss = 46.116873, solution error = 1.374378, grad_solution error = 3.656272
solution loss = 44.607468, solution error = 1.372279, grad_solution error = 3.634482
solution loss = 42.809829, solution error = 1.365022, grad_solution error = 3.615152
solution loss = 41.134083, solution error = 1.355487, grad_solution error = 3.596865
solution loss = 40.243055, solution error = 1.356685, grad_solution error = 3.574211
solution loss = 38.663064, solution error = 1.354801, grad_solution error = 3.555061
solution loss = 37.681402, solution error = 1.347187, grad_solution error = 3.536375
solution loss = 36.555218, solution error = 1.339613, grad_solution error = 3.514501
solution loss = 35.175606, solution error = 1.337119, grad_solution error = 3.495290
solution loss = 34.184364, solution error = 1.334113, grad_solution error = 3.474889
solution loss = 33.218299, solution error = 1.330255, grad_solution error = 3.456983
solution loss = 32.334468, solution error = 1.323864, grad_solution error = 3.438624
solution loss = 31.270519, solution error = 1.318333, grad_solution error = 3.416484
solution loss = 30.200643, solution error = 1.314136, grad_solution error = 3.397436
solution loss = 29.660935, solution error = 1.311249, grad_solution error = 3.378890
solution loss = 28.801342, solution error = 1.313086, grad_solution error = 3.357685
solution loss = 28.261534, solution error = 1.305419, grad_solution error = 3.341022
solution loss = 27.607970, solution error = 1.304812, grad_solution error = 3.321613
solution loss = 27.028287, solution error = 1.304474, grad_solution error = 3.304652
solution loss = 26.244983, solution error = 1.301538, grad_solution error = 3.286882
solution loss = 25.670394, solution error = 1.295751, grad_solution error = 3.266903
solution loss = 24.974063, solution error = 1.291341, grad_solution error = 3.249763
solution loss = 24.553878, solution error = 1.289388, grad_solution error = 3.234683
solution loss = 24.090657, solution error = 1.287500, grad_solution error = 3.215863
solution loss = 23.332901, solution error = 1.288252, grad_solution error = 3.195545
solution loss = 23.001726, solution error = 1.288000, grad_solution error = 3.178342
solution loss = 22.273277, solution error = 1.283757, grad_solution error = 3.163260
solution loss = 21.852412, solution error = 1.280895, grad_solution error = 3.145510
solution loss = 21.418151, solution error = 1.279509, grad_solution error = 3.127431
solution loss = 21.207218, solution error = 1.280681, grad_solution error = 3.114888
